Fiscal Year Start,Fiscal Year,Type,Inventment Amount
2012,FY 12/13,GPEC Capital Investment Actual,465000000
2013,FY 13/14,GPEC Capital Investment Actual,285000000
2014,FY 14/15,GPEC Capital Investment Actual,449000000
2015,FY 15/16,GPEC Capital Investment Actual,389400000
2016,FY 16/17,GPEC Capital Investment Actual,1470000000
2017,FY 17/18,GPEC Capital Investment Actual,1182830000
2018,FY 18/19,GPEC Capital Investment Actual,1181000000
2017,FY 17/18,Tempe Captial Investment Target,52217025
2018,FY 18/19,Tempe Captial Investment Target,65643031
2019,FY 19/20,Tempe Captial Investment Target,81218807
2015,FY 15/16,Tempe Capital Investment Actual,22750000
2016,FY 16/17,Tempe Capital Investment Actual,136140000
2017,FY 17/18,Tempe Capital Investment Actual,78450000
2018,FY 18/19,Tempe Capital Investment Actual,107445000
